"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","User page feature","Verify the functionality of SSN when KYC is not done","0","0","1","0","0"
"","User page feature","Verify the list when Admin/Agent select option. Sort Ascending (A-Z)  over Name field","0","0","1","0","0"
"","User page feature","Verify the sorting functionality of sort Ascending (Z-A)","1","0","1","0","0"
"","User page feature","Verify that user able to view Last login in Sort Descending order","1","0","0","0","0"
"","User page feature","Verify that Admin/Agent able to view User since value for all user","0","0","2","0","0"
"","User page feature","Verify the functionality of DOB when KYC is not done","0","0","1","0","0"
"","User page feature","Verify that Admin/Agent able to navigate to Users page","0","0","1","0","0"
"","User page feature","Verify the UI of Investment page","1","0","1","0","0"
"","User page feature","Verify the functionality of ""Print"" Button","0","1","0","0","0"
"","Account feature for changing password","Verify the functionality of Confirm Code button when invalid OTP is entered while verifying OTP during changing the password with kyc","0","1","0","0","0"
"","User page feature","Verify the UI of Transaction page","0","0","3","0","0"
"","User page feature","Verify that Admin/Agent able to view Entities value when no entities is linked","1","0","0","0","0"
"","User page feature","Verify the functionality of  Mobile Number when KYC is not done","0","0","1","0","0"
"","User page feature","Verify the functionality of  User Since","0","0","1","0","0"
"","User page feature","Verify the functionality of DOB","0","0","1","0","0"
"","User page feature","Verify the list when Admin/Agent select Sort Descending  (Z-A) option  over Name field","0","0","1","0","0"
"","User page feature","Verify the functionality of Name column","0","0","1","0","0"
"","User page feature","Verify the functionality when user click on Property name","0","0","3","0","0"
"","User page feature","Verify the functionality when user able to view Matching result","0","0","1","0","0"
"","User page feature","Verify the sorting functionality of sort Ascending (A-Z)","0","0","1","0","0"
"","User page feature","Verify the functionality of Address when KYC is not done","0","0","1","0","0"
"","Account feature for changing mobile number","Verify the functionality of Confirm Code button when invalid OTP is entered while verifying OTP during changing the number process.","0","1","0","0","0"
"","User page feature","Verify the functionality of active hover state","1","0","0","0","0"
"","User page feature","Verify that user able to view Last login in Sort Ascending order","1","0","0","0","0"
"","User page feature","Verify the functionality of Name","0","0","1","0","0"
"","User page feature","Verify that Admin/Agent able to view User Id for all user in the list","0","0","1","0","0"
