"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 03 18:32:41 IST 2024","Wed Jan 03 18:33:07 IST 2024","25396","","User page feature","","Verify the functionality of SSN when KYC is not done","","Verify the functionality of SSN when KYC is not done",""
"passed","Mon Jan 08 14:52:36 IST 2024","Mon Jan 08 14:53:28 IST 2024","51518","","User page feature","","Verify the list when Admin/Agent select option. Sort Ascending (A-Z)  over Name field","","Verify the list when Admin/Agent select option. Sort Ascending (A-Z)  over Name field",""
"failed","Wed Jan 03 17:59:05 IST 2024","Wed Jan 03 18:00:24 IST 2024","78308","","User page feature","","Verify the sorting functionality of sort Ascending (Z-A)","","Verify the sorting functionality of sort Ascending (Z-A)",""
"failed","Wed Jan 03 14:05:56 IST 2024","Wed Jan 03 14:06:46 IST 2024","50134","","User page feature","","Verify that user able to view Last login in Sort Descending order","","Verify that user able to view Last login in Sort Descending order",""
"passed","Fri Jan 05 12:38:24 IST 2024","Fri Jan 05 12:38:49 IST 2024","25509","","User page feature","","Verify that Admin/Agent able to view User since value for all user","","Verify that Admin/Agent able to view User since value for all user",""
"passed","Wed Jan 03 18:36:01 IST 2024","Wed Jan 03 18:36:48 IST 2024","47391","","User page feature","","Verify the functionality of DOB when KYC is not done","","Verify the functionality of DOB when KYC is not done",""
"passed","Wed Jan 17 11:22:49 IST 2024","Wed Jan 17 11:23:22 IST 2024","33244","","User page feature","","Verify that Admin/Agent able to navigate to Users page","","Verify that Admin/Agent able to navigate to Users page",""
"passed","Wed Jan 03 18:32:06 IST 2024","Wed Jan 03 18:32:36 IST 2024","30541","","User page feature","","Verify the UI of Investment page","","Verify the UI of Investment page",""
"broken","Fri Jan 05 12:31:50 IST 2024","Fri Jan 05 12:38:18 IST 2024","387838","","User page feature","","Verify the functionality of ""Print"" Button","","Verify the functionality of ""Print"" Button",""
"broken","Tue Dec 26 19:48:33 IST 2023","Tue Dec 26 19:48:36 IST 2023","2866","","Account feature for changing password","","Verify the functionality of Confirm Code button when invalid OTP is entered while verifying OTP during changing the password with kyc","","Verify the functionality of Confirm Code button when invalid OTP is entered while verifying OTP during changing the password with kyc",""
"passed","Wed Jan 03 18:01:05 IST 2024","Wed Jan 03 18:01:34 IST 2024","29101","","User page feature","","Verify the UI of Transaction page","","Verify the UI of Transaction page",""
"failed","Mon Jan 08 15:58:00 IST 2024","Mon Jan 08 15:58:38 IST 2024","37812","","User page feature","","Verify that Admin/Agent able to view Entities value when no entities is linked","","Verify that Admin/Agent able to view Entities value when no entities is linked",""
"passed","Wed Jan 03 18:33:12 IST 2024","Wed Jan 03 18:34:00 IST 2024","48335","","User page feature","","Verify the functionality of  Mobile Number when KYC is not done","","Verify the functionality of  Mobile Number when KYC is not done",""
"passed","Mon Jan 08 16:35:40 IST 2024","Mon Jan 08 16:36:35 IST 2024","54996","","User page feature","","Verify the functionality of  User Since","","Verify the functionality of  User Since",""
"passed","Wed Jan 03 18:42:43 IST 2024","Wed Jan 03 18:43:16 IST 2024","32799","","User page feature","","Verify the functionality of DOB","","Verify the functionality of DOB",""
"passed","Mon Jan 08 14:53:34 IST 2024","Mon Jan 08 14:54:28 IST 2024","54771","","User page feature","","Verify the list when Admin/Agent select Sort Descending  (Z-A) option  over Name field","","Verify the list when Admin/Agent select Sort Descending  (Z-A) option  over Name field",""
"passed","Wed Jan 03 17:05:33 IST 2024","Wed Jan 03 17:06:02 IST 2024","29020","","User page feature","","Verify the UI of Transaction page","","Verify the UI of Transaction page",""
"passed","Wed Jan 17 11:23:28 IST 2024","Wed Jan 17 11:23:55 IST 2024","26684","","User page feature","","Verify the functionality of Name column","","Verify the functionality of Name column",""
"passed","Wed Jan 03 17:04:55 IST 2024","Wed Jan 03 17:05:27 IST 2024","31809","","User page feature","","Verify the functionality when user click on Property name","","Verify the functionality when user click on Property name",""
"passed","Mon Jan 08 12:17:02 IST 2024","Mon Jan 08 12:17:42 IST 2024","40524","","User page feature","","Verify the sorting functionality of sort Ascending (Z-A)","","Verify the sorting functionality of sort Ascending (Z-A)",""
"passed","Mon Jan 08 16:56:38 IST 2024","Mon Jan 08 16:57:34 IST 2024","55694","","User page feature","","Verify that Admin/Agent able to view User since value for all user","","Verify that Admin/Agent able to view User since value for all user",""
"passed","Wed Jan 03 17:04:29 IST 2024","Wed Jan 03 17:04:50 IST 2024","21469","","User page feature","","Verify the functionality when user able to view Matching result","","Verify the functionality when user able to view Matching result",""
"failed","Wed Jan 03 18:01:40 IST 2024","Wed Jan 03 18:02:44 IST 2024","64539","","User page feature","","Verify the UI of Investment page","","Verify the UI of Investment page",""
"passed","Mon Jan 08 12:16:10 IST 2024","Mon Jan 08 12:16:56 IST 2024","45967","","User page feature","","Verify the sorting functionality of sort Ascending (A-Z)","","Verify the sorting functionality of sort Ascending (A-Z)",""
"passed","Wed Jan 03 18:34:05 IST 2024","Wed Jan 03 18:34:32 IST 2024","26213","","User page feature","","Verify the functionality of Address when KYC is not done","","Verify the functionality of Address when KYC is not done",""
"broken","Tue Dec 26 19:48:27 IST 2023","Tue Dec 26 19:48:33 IST 2023","6114","","Account feature for changing mobile number","","Verify the functionality of Confirm Code button when invalid OTP is entered while verifying OTP during changing the number process.","","Verify the functionality of Confirm Code button when invalid OTP is entered while verifying OTP during changing the number process.",""
"failed","Mon Jan 08 16:10:48 IST 2024","Mon Jan 08 16:11:38 IST 2024","50114","","User page feature","","Verify the functionality of active hover state","","Verify the functionality of active hover state",""
"failed","Wed Jan 03 14:05:15 IST 2024","Wed Jan 03 14:05:49 IST 2024","33707","","User page feature","","Verify that user able to view Last login in Sort Ascending order","","Verify that user able to view Last login in Sort Ascending order",""
"passed","Wed Jan 03 18:42:02 IST 2024","Wed Jan 03 18:42:38 IST 2024","35107","","User page feature","","Verify the functionality of Name","","Verify the functionality of Name",""
"passed","Wed Jan 03 18:27:20 IST 2024","Wed Jan 03 18:27:45 IST 2024","25303","","User page feature","","Verify that Admin/Agent able to view User Id for all user in the list","","Verify that Admin/Agent able to view User Id for all user in the list",""
"passed","Wed Jan 03 18:31:27 IST 2024","Wed Jan 03 18:32:00 IST 2024","32970","","User page feature","","Verify the UI of Transaction page","","Verify the UI of Transaction page",""
"passed","Wed Jan 03 18:30:28 IST 2024","Wed Jan 03 18:31:22 IST 2024","53991","","User page feature","","Verify the functionality when user click on Property name","","Verify the functionality when user click on Property name",""
"passed","Wed Jan 03 18:00:29 IST 2024","Wed Jan 03 18:01:00 IST 2024","31155","","User page feature","","Verify the functionality when user click on Property name","","Verify the functionality when user click on Property name",""
